publisher,app_name,title,url,release_date,tags,discount_price,reviews_url,specs,price,early_access,id,developer,sentiment,metascore,year,genres_Adventure,genres_Casual,genres_Early Access,genres_Free to Play,genres_Indie,genres_Massively Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,genres_Video Production
Valve,Half-Life,Half-Life,http://store.steampowered.com/app/70/HalfLife/,1998-11-08,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",,http://steamcommunity.com/app/70/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,70,Valve,Overwhelmingly Positive,96.0,1998.0,False,False,False,False,False,False,False,False,False,False,False,False
Strategy First,Disciples II: Gallean's Return,Disciples II: Gallean's Return,http://store.steampowered.com/app/1640/Disciples_II_Galleans_Return/,2006-07-06,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",,http://steamcommunity.com/app/1640/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,1640,Strategy First,Mostly Positive,84.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
Strategy First,Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,http://store.steampowered.com/app/1630/Disciples_II_Rise_of_the_Elves/,2006-07-06,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",,http://steamcommunity.com/app/1630/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,1630,Strategy First,Very Positive,80.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
Blazing Griffin Ltd.,The Ship: Murder Party,The Ship: Murder Party,http://store.steampowered.com/app/2400/The_Ship_Murder_Party/,2006-07-11,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",,http://steamcommunity.com/app/2400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,False,2400,Outerlight Ltd.,Very Positive,76.0,2006.0,False,False,False,False,False,False,False,False,False,False,False,False
Blazing Griffin Ltd.,The Ship: Murder Party,The Ship: Murder Party,http://store.steampowered.com/app/2400/The_Ship_Murder_Party/,2006-07-11,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",,http://steamcommunity.com/app/2400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,False,2400,Outerlight Ltd.,Very Positive,76.0,2006.0,False,False,False,False,True,False,False,False,False,False,False,False
Blazing Griffin Ltd.,The Ship: Murder Party,The Ship: Murder Party,http://store.steampowered.com/app/2400/The_Ship_Murder_Party/,2006-07-11,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",,http://steamcommunity.com/app/2400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,False,2400,Outerlight Ltd.,Very Positive,76.0,2006.0,False,False,False,False,False,False,True,False,False,False,False,False
Majesco,Advent Rising,Advent Rising,http://store.steampowered.com/app/3800/Advent_Rising/,2005-08-09,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",,http://steamcommunity.com/app/3800/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Trading Cards']",9.99,False,3800,GlyphX Games,Mostly Positive,70.0,2005.0,False,False,False,False,False,False,False,False,False,False,False,False
Introversion Software,DEFCON,DEFCON,http://store.steampowered.com/app/1520/DEFCON/,2006-09-29,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",,http://steamcommunity.com/app/1520/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,False,1520,Introversion Software,Very Positive,84.0,2006.0,False,False,False,False,True,False,False,False,False,False,False,False
Introversion Software,DEFCON,DEFCON,http://store.steampowered.com/app/1520/DEFCON/,2006-09-29,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",,http://steamcommunity.com/app/1520/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,False,1520,Introversion Software,Very Positive,84.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
"CINEMAX, s.r.o.",Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,http://store.steampowered.com/app/2520/Gumboy__Crazy_Adventures/,2006-12-19,"['Casual', 'Indie', 'Singleplayer']",,http://steamcommunity.com/app/2520/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,2520,"CINEMAX, s.r.o.",Mixed,69.0,2006.0,False,True,False,False,False,False,False,False,False,False,False,False
